vds_id,year,contrib
IAP10A0009,2010,0.9
IAP10A0010,2010,2.1
IAP10A0030,2010,2.1
IAP10A0034,2010,5.1
IAP10A0035,2010,4.2
IAP10A0036,2010,2.1
IAP10A0038,2010,4.2
IAP10A0039,2010,2.1
IAP10A0043,2010,5.2
IAP10A0044,2010,10
IAP10A0046,2010,5.4
IAP10A0048,2010,3.1
IAP10A0053,2010,4.5
IAP10A0055,2010,6.1
IAP10A0058,2010,0.9
IAP10A0081,2010,2.1
IAP10A0082,2010,7.5
IAP10A0202,2010,5.4
IAP10A0203,2010,5.1
IAP10A0208,2010,6.3
IAP10A0209,2010,4.5
IAP10A0210,2010,5.1
IAP10A0212,2010,6.1
IAP10A0216,2010,7.2
IAP10A0217,2010,4.5
IAP10A0219,2010,2.1
IAP10A0220,2010,1.8
IAP10A0224,2010,5.2
IAP10A0225,2010,6.1
IAP10A0226,2010,3.3
IAP10A0227,2010,3.3
IAP10A0228,2010,4.2
IAP10A0229,2010,3.1
IAP10A0231,2010,5.4
IAP10A0232,2010,5.7
IAP10A0233,2010,3
IAP10A0234,2010,4.2
IAP10A0236,2010,5.1
IAP10A0237,2010,4.2
IAP10A0238,2010,3.3
IAP10A0239,2010,4.2
IAP10A0240,2010,6.7
IAP10A0241,2010,4.2
IAP10A0242,2010,2.1
IAP10A0297,2010,6
IAP10A0299,2010,4.3
IAP10A0300,2010,4.5
IAP10A0301,2010,5.4
IAP10A0302,2010,4.3
IAP10A0303,2010,3.1
IAP10A0304,2010,4.2
IAP10A0305,2010,4.2
IAP10A0306,2010,6
IAP10A0307,2010,3.9
IAP10A0308,2010,3.3
IAP10A0309,2010,5.7
IAP10A0311,2010,3.3
IAP10A0312,2010,4.2
IAP10A0314,2010,0.9
IAP10A0315,2010,5.1
IAP10A0316,2010,3.9
IAP10A0317,2010,5.4
IAP10A0320,2010,5.1
IAP10A0325,2010,4.5
IAP10A0328,2010,4.2
IAP10A0329,2010,4.2
IAP10A0330,2010,4.2
IAP10A1006,2010,1.8
IAP10A1124,2010,3.3
IAP10B0030,2010,5.1
IAP10B0032,2010,6
IAP10B0035,2010,3
IAP10B0036,2010,5.5
IAP10B0037,2010,10.1
IAP10B0038,2010,9.3
IAP10B0041,2010,3.3
IAP10B0043,2010,9.3
IAP10B0044,2010,7.5
IAP10B0046,2010,5.1
IAP10B0047,2010,2.1
IAP10B0049,2010,4.2
IAP10B0052,2010,5.7
IAP10B0053,2010,6
IAP10B0054,2010,4.2
IAP10B0055,2010,5.4
IAP10B0057,2010,5.7
IAP10B0058,2010,6.6
IAP10B0059,2010,3.3
IAP10B0200,2010,6.3
IAP10B0201,2010,2.1
IAP10B0203,2010,6.3
IAP10B0205,2010,5.3
IAP10B0207,2010,5.4
IAP10B0256,2010,5.2
IAP10B0257,2010,3.9
IAP10B0258,2010,5.1
IAP10B0259,2010,3.3
IAP10B0260,2010,3.9
IAP10B0275,2010,4.5
IAP10B0276,2010,6.3
IAP10B0277,2010,4.2
IAP10B0278,2010,6.3
IAP10B0280,2010,6.3
IAP10B0281,2010,4.5
IAP10B0284,2010,5.7
IAP10B0287,2010,5.4
IAP10B0288,2010,8.2
IAP10B0289,2010,2.1
IAP10B0290,2010,6
IAP10B0291,2010,2.1
IAP10B0293,2010,6.3
IAP10B0294,2010,2.1
IAP10B0296,2010,5.4
IAP10B0297,2010,4.5
IAP10B0298,2010,3
IAP10B0299,2010,4.5
IAP10B0303,2010,4.5
IAP10B1079,2010,5.2
IAP10C0001,2010,5.4
IAP10C0002,2010,6.9
IAP10C0003,2010,6.6
IAP10C0004,2010,5.1
IAP10C0005,2010,7.2
IAP10C0006,2010,4.2
IAP10C0007,2010,3
IAP10C0008,2010,2.1
IAP10C0009,2010,6
IAP10C0010,2010,5.1
IAP10C0030,2010,5.7
IAP10C0031,2010,2.1
IAP10C0032,2010,4.2
IAP10C0033,2010,4.5
IAP10C0034,2010,3.3
IAP10C0035,2010,5.4
IAP10C0036,2010,4.5
IAP10C0037,2010,2.1
IAP10C0038,2010,5.4
IAP10C0039,2010,8.4
IAP10C0040,2010,3.3
IAP10C0041,2010,4.5
IAP10C0042,2010,3.3
IAP10C0043,2010,3
IAP10C0044,2010,2.1
IAP10C0045,2010,3.3
IAP10C0046,2010,6
IAP10C0047,2010,4.5
IAP10C0048,2010,4.2
IAP10C0049,2010,4.2
IAP10C0050,2010,2.1
IAP10C0051,2010,3.3
IAP10C0052,2010,3.9
IAP10C0053,2010,4.8
IAP10C0054,2010,6.9
IAP10C0055,2010,4.2
IAP10C0056,2010,2.1
IAP10C0057,2010,2.1
IAP10C0058,2010,4.2
IAP10C0059,2010,3.3
IAP10D0001,2010,6.6
IAP10D0002,2010,3
IAP10D0003,2010,3.3
IAP10D0004,2010,4.5
IAP10D0005,2010,3.9
IAP10D0006,2010,7.5
IAP10D0007,2010,6
IAP10D0008,2010,5.7
IAP10D0009,2010,4.2
IAP10D0010,2010,6.3
IAP10D0030,2010,2.1
IAP10D0031,2010,6.1
IAP10D0033,2010,5.4
IAP10D0034,2010,3.9
IAP10D0035,2010,4.2
IAP10D0036,2010,4.2
IAP10D0037,2010,0.9
IAP10D0038,2010,5.2
IAP10D0039,2010,3.9
IAP10D0040,2010,3.3
IAP10D0041,2010,2.1
IAP10D0042,2010,4.2
IAP10D0043,2010,4.5
IAP10D0044,2010,4.2
IAP10D0045,2010,4.5
IAP10D0046,2010,5.4
IAP10D0047,2010,6
IAP10D0048,2010,3.9
IAP10D0049,2010,3.3
IAP10D0050,2010,3
IAP10D0051,2010,6.3
IAP10D0052,2010,4.2
IAP10D0053,2010,2.1
IAP10D0054,2010,5.3
IAP10D0055,2010,7.8
IAP10D0056,2010,2.1
IAP10D0057,2010,4.2
IAP10D0058,2010,5
IAP10D0059,2010,2.1
IAP10D0070,2010,4.2
IAP11A0008,2011,3.6
IAP11A0009,2011,0.9
IAP11A0010,2011,2.1
IAP11A0030,2011,2.1
IAP11A0034,2011,5
IAP11A0035,2011,4.1
IAP11A0036,2011,1.9
IAP11A0038,2011,4.2
IAP11A0039,2011,2.1
IAP11A0043,2011,4.3
IAP11A0044,2011,5.5
IAP11A0046,2011,5.5
IAP11A0048,2011,2.1
IAP11A0053,2011,4.5
IAP11A0055,2011,2.1
IAP11A0058,2011,0.9
IAP11A0081,2011,2.1
IAP11A0082,2011,7.9
IAP11A0202,2011,4.6
IAP11A0203,2011,4.5
IAP11A0208,2011,5.8
IAP11A0209,2011,3.9
IAP11A0210,2011,5.3
IAP11A0212,2011,5.3
IAP11A0216,2011,6.3
IAP11A0217,2011,4.5
IAP11A0219,2011,2.1
IAP11A0220,2011,1.8
IAP11A0224,2011,5
IAP11A0225,2011,5
IAP11A0226,2011,3.3
IAP11A0227,2011,3.3
IAP11A0228,2011,3.8
IAP11A0229,2011,2.1
IAP11A0231,2011,5
IAP11A0232,2011,5.3
IAP11A0233,2011,3.1
